feature,synthetic_mal_mean,synthetic_mal_std,real_mal_mean,real_mal_std,ks_statistic,ks_p_value,mean_abs_diff
suspicious_entry_count,0.8612759643916914,0.37051832863641704,231.47191011235955,353.3049766339684,0.9349181475677658,2.968729160314628e-92,230.61063414796786
suspicious_entry_ratio,0.05048464391691395,0.031106694349129705,0.8694303370786517,0.290751631297459,0.9276081085586637,2.5508242367983023e-89,0.8189456931617377
data_entropy_shannon,7.450869807121663,0.5594579431062808,7.906364044943819,0.8428224091194866,0.8633931250625145,3.959526300723646e-70,0.4554942378221565
cd_compression_method,20.772997032640948,32.52609699876832,1.6067415730337078,10.879955776438639,0.7640449438202247,1.1852345510659888e-50,19.16625545960724
data_entropy_renyi,6.064642655786351,1.8764478425272029,7.182902247191012,2.4092252126282196,0.7631197279365185,1.6687772146502655e-50,1.1182595914046614
eocd_count,1.4510385756676558,1.434982745270508,225.1011235955056,356.51124901311994,0.6563698196245791,1.8052794865260922e-35,223.65008501983795
any_crc_mismatch,0.7781899109792285,0.4154640458925043,0.1348314606741573,0.3415434641251834,0.6433584503050712,6.516774492833971e-34,0.6433584503050712
method_mismatch,0.6305637982195845,0.482652146576057,0.0,0.0,0.6305637982195845,1.9282123991380786e-32,0.6305637982195845
lf_compression_method,16.915430267062316,34.241379593219044,8.393258426966293,9.89565558692365,0.4777281365651985,5.57157264639124e-18,8.522171840096023
declared_vs_entropy_flag,0.2893175074183976,0.4534455726099915,0.06741573033707865,0.2507406022968697,0.22190177708131897,0.00043018990802242866,0.22190177708131897
lf_unknown_method,0.14836795252225518,0.3554643486857845,0.02247191011235955,0.1482124264974485,0.12589604240989563,0.12941773015158778,0.12589604240989563
is_encrypted,0.14688427299703263,0.3539905130694406,0.033707865168539325,0.18047616184504506,0.11317640782849331,0.21714531690790773,0.11317640782849331
